id,supermarket,product_name,description,original_price,offer_price,discount_percentage,quantity,unit,category,valid_from,valid_until,image_url,created_at,updated_at,sale_type,embedding
00ca0bd9-4f5b-4c30-b783-1429a452bcb4,dirk,Heineken bier,Krat 24 flessen à 30 cl.,"18,46","13,89",25,,,,2025-01-19,2025-01-25,https://i.supermarktaanbiedingen.com/68nRZmRyXM3VsOpugDJAIH-IBoo=/fit-in/100x100//public/images/discount/2025/03/1263347.webp,2025-01-20 02:16:55.857749+00,2025-01-20 02:16:55.857749+00,Krat 24 flessen à 30 cl.,
00f88bc6-299e-401e-9ded-f6c467f1ee45,plus,"PLUS Boerentrots Kipdrumsticks, kipfilethaasjes gepaneerd of kiphaasjes krokant","Kipdrumsticks Naturel of gekruid Schaal 1 kilo, kipfilethaasjes gepaneerd Schaal 405 gram of kiphaasjes krokant Schaal 400 gram Per schaal","6,65","5,49",17,,,,2025-01-19,2025-01-21,https://i.supermarktaanbiedingen.com/XfBb_ag1a1wFkomdjgNxUfcyxTk=/fit-in/100x100//public/images/discount/2025/02/1263716.webp,2025-01-20 02:16:46.09344+00,2025-01-20 02:16:46.09344+00,"Kipdrumsticks Naturel of gekruid Schaal 1 kilo, kipfilethaasjes gepaneerd Schaal 405 gram of kiphaasjes krokant Schaal 400 gram Per schaal",
0130b372-b60a-4cf7-bc8b-cbaddd87e70d,dirk,Bolletje Oerknäck,Pak 285 gram.,"2,29","1,39",39,,,,2025-01-19,2025-01-25,https://i.supermarktaanbiedingen.com/OkvUrvzIykZq-eayfUmssvYsw78=/fit-in/100x100//public/images/discount/2025/03/1263326.webp,2025-01-20 02:16:55.857749+00,2025-01-20 02:16:55.857749+00,Pak 285 gram.,
0188277d-028b-4c84-a01c-ccbc590b7bc5,dirk,Barebells proteïne reep,Per stuk 55 gram.,"2,79","1,79",36,,,,2025-01-19,2025-01-25,https://i.supermarktaanbiedingen.com/0pO_PMc6nHPyc86yqQKwhbgNBn0=/fit-in/100x100//public/images/discount/2025/03/1263363.webp,2025-01-20 02:16:55.857749+00,2025-01-20 02:16:55.857749+00,Per stuk 55 gram.,
01d6e469-6a58-48d4-a37c-3f5b099ce424,ah,AH Biologische mandarijnen 750 gram,25% KORTINGPer net,"3,29","2,47",25,,,,2025-01-20,2025-01-26,https://i.supermarktaanbiedingen.com/bjuLIXZDaJiH32D-oCiZZ6NZPr4=/fit-in/100x100//public/images/discount/2025/04/1264991.webp,2025-01-20 02:16:59.04574+00,2025-01-20 02:16:59.04574+00,25% KORTINGPer net,
01eb8c78-b541-43e9-adf7-d121c992bfcd,aldi,Vega kipstukjes,OP=OP.300 G,,"2,49",,,,,2025-01-19,2025-01-26,https://i.supermarktaanbiedingen.com/nJEeaQh8xK8gmslbcbxGJ3JEpmo=/fit-in/100x100//public/images/discount/2025/03/1265470.webp,2025-01-20 02:16:50.241059+00,2025-01-20 02:16:50.241059+00,OP=OP.300 G,
02e9e261-df50-4658-b6c7-9c496bf8538f,plus,Biologisch PLUS of PLUS Snoepgroente,"Biologisch PLUS Tomaten Zak 250 gram, PLUS Komkommer Schaal 230 gram, PLUS Radijsmix Schaal 250 gram, PLUS Paprika Schaal 175 gram, PLUS Paprika pitloos Schaal 175 gram, PLUS Tomaten mix of rood Schaal 250 gram, combineren mogelijk 3 schalen 3 VOOR 5.00","7,47","5,00",33,,,,2025-01-19,2025-01-21,https://i.supermarktaanbiedingen.com/WTan1TTeyWL2Wa7fRFPXzdJkOxc=/fit-in/100x100//public/images/discount/2024/48/1253179.webp,2025-01-20 02:16:46.09344+00,2025-01-20 02:16:46.09344+00,"Biologisch PLUS Tomaten Zak 250 gram, PLUS Komkommer Schaal 230 gram, PLUS Radijsmix Schaal 250 gram, PLUS Paprika Schaal 175 gram, PLUS Paprika pitloos Schaal 175 gram, PLUS Tomaten mix of rood Schaal 250 gram, combineren mogelijk 3 schalen 3 VOOR 5.00",
03b57bfe-d095-468f-9b84-4ebac5cbfc54,plus,Alle Douwe Egberts IJskoffie,Per stuk,"1,99","1,00",50,,,,2025-01-19,2025-01-21,https://i.supermarktaanbiedingen.com/eYd27YmXzeGZjZ2rH-jorRqNss0=/fit-in/100x100//public/images/discount/2025/02/1263730.webp,2025-01-20 02:16:46.09344+00,2025-01-20 02:16:46.09344+00,Per stuk,
041c1e87-1125-4a10-b42c-1bea0d5aef86,aldi,30-pack zakdoekjes,OP=OP. 30-PACK,,"3,49",,,,,2025-01-19,2025-01-26,https://i.supermarktaanbiedingen.com/87xz_K3EHt3-gPGO8nk-rPRDDRg=/fit-in/100x100//public/images/discount/2025/03/1265490.webp,2025-01-20 02:16:50.241059+00,2025-01-20 02:16:50.241059+00,OP=OP. 30-PACK,
05180ce9-07e0-4285-acba-840b183f215c,plus,Gourmet Gold,"Alle blikjes à 85 gram, combineren mogelijk 2 blikjes 2 VOOR 1.00","1,78","1,00",44,,,,2025-01-19,2025-01-21,https://i.supermarktaanbiedingen.com/rZPbLjQB9Dj1y0W1p9jmDFGWzzg=/fit-in/100x100//public/images/discount/2025/02/1263799.webp,2025-01-20 02:16:46.09344+00,2025-01-20 02:16:46.09344+00,"Alle blikjes à 85 gram, combineren mogelijk 2 blikjes 2 VOOR 1.00",
